OwnerID,Name,Surname,StreetAddress,City,State,StateFull,ZipCode
6049,Debbie,Metivier,315 Goff Avenue,Grand Rapids,MI,Michigan,49503
2863,John,Sebastian,3221 Perry Street,Davison,MI,Michigan,48423
3518,Connie,Pauley,1539 Cunningham Court,Bloomfield Township,MI,Michigan,48302
3663,Lena,Haliburton,4217 Twin Oaks Drive,Traverse City,MI,Michigan,49684
1070,Jessica,Velazquez,3861 Woodbridge Lane,Southfield,MI,Michigan,48034
7101,Bessie,Yen,30 Cunningham Court,Rochester Hills,MI,Michigan,48306
2419,Luisa,Cuellar,1308 Shingleton Road,Kalamazoo,MI,Michigan,49007
6194,Karen,Torres,3941 Ritter Avenue,Center Line,MI,Michigan,48015
5833,Mary,Hurtado,4865 Juniper Drive,Saint Charles,MI,Michigan,48655
9614,Carmen,Ingram,1056 Eagle Drive,Detroit,MI,Michigan,48219
7581,Florence,Nolen,3103 Howard Street,Grand Rapids,MI,Michigan,49503
2755,Anne,Hudson,4110 Howard Street,Grand Rapids,MI,Michigan,49503
9900,Marie,Floyd,314 Cunningham Court,Southfield,MI,Michigan,48075
8143,Jackie,Hatmaker,949 John Avenue,East Lansing,MI,Michigan,48823
